System IP: ::1 - February 1, 2023, 10:13:43 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 10:13:54 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 10:38:08 am,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:00:53 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 11:01:00 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:01:05 am,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:01:30 am,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description: Input Field :txt_old_pwd Changed |  Input Field :txt_chg_pwd Changed |  Input Field :txt_chg_pwd1 Changed |  Button Action :btn_change_password Click |  ,
System IP: ::1 - February 1, 2023, 11:01:56 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 11:02:03 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:11:46 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 11:12:12 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: 127.0.0.1 - February 1, 2023, 11:12:18 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 11:12:27 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:12:31 am,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:12:51 am,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description: Input Field :txt_old_pwd Changed |  Input Field :txt_chg_pwd Changed |  Input Field :txt_chg_pwd1 Changed |  Button Action :btn_change_password Click |  ,
System IP: 127.0.0.1 - February 1, 2023, 11:13:09 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 11:13:16 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:13:25 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 11:13:32 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 11:13:38 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 11:54:45 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 11:54:53 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 11:55:21 am,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: 127.0.0.1 - February 1, 2023, 11:55:29 am,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:12:13 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:12:17 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: 127.0.0.1 - February 1, 2023, 12:25:54 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: 127.0.0.1 - February 1, 2023, 12:26:01 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:26:15 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 12:26:22 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:26:26 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:26:49 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description: Input Field :txt_old_pwd Changed |  Input Field :txt_chg_pwd Changed |  Input Field :txt_chg_pwd1 Changed |  Button Action :btn_change_password Click |  ,
System IP: 127.0.0.1 - February 1, 2023, 12:27:02 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:30:31 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:34:24 pm,Action: /emsdemo/View/er_spoc.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:34:32 pm,Action: /emsdemo/View/employee_serach.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:34:54 pm,Action: /emsdemo/View/employee_serach.php,User: CE10091236,Description: DropDown Field :searchBy Changed |  DropDown Field :searchBy Changed |  Input Field :ddl_ED_Emp_Name Changed |  Button Action :btn_ED_Search Click |  ,
System IP: ::1 - February 1, 2023, 12:43:01 pm,Action: /emsdemo/View/er_spoc.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:43:06 pm,Action: /emsdemo/View/er_spoc.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 12:43:26 pm,Action: /emsdemo/View/er_spoc.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 1:04:04 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 1:04:12 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:29:30 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 2:29:42 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:29:53 pm,Action: /emsdemo/View/ithdk_ticket_report.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:30:10 pm,Action: /emsdemo/View/team_msg.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:30:22 pm,Action: /emsdemo/View/desimination_matrix.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:30:49 pm,Action: /emsdemo/View/ijp_report.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 2:31:01 pm,Action: /emsdemo/View/ijp_report.php,User: CE10091236,Description: DropDown Field :ijp Changed |  Button Action :view Click |  ,
System IP: ::1 - February 1, 2023, 2:37:10 pm,Action: /emsdemo/View/ijp_report.php,User: CE10091236,Description: DropDown Field :ijp Changed |  Button Action :view Click |  ,
System IP: ::1 - February 1, 2023, 3:48:24 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 3:48:30 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 3:48:36 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 4:02:52 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 5:47:16 pm,Action: Login TO,User: CE10091236,Description: Bachan Singh Rawat Log In To EMS,
System IP: ::1 - February 1, 2023, 5:47:25 pm,Action: /emsdemo/View/index.php,User: CE10091236,Description:  Open Page ,
System IP: ::1 - February 1, 2023, 5:47:55 pm,Action: /emsdemo/View/changepwd.php,User: CE10091236,Description:  Open Page ,
